2023-02-13 00:02:138 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:273 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:545 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:686 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:740 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:796 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:875 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (0e5bf9a90192328e1251a78a75f99176)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:292 INFO  HomePage :57 - click on job titleMarketing Executive
2023-02-13 00:02:429 INFO  HomePage :61 - Click on Location Harrow Weald,Greater London
2023-02-13 00:02:615 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:828 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:117 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:268 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:331 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:390 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:469 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (c1405789de1ccf01c727053f66a32769)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:612 INFO  HomePage :57 - click on job titleQa Analyst
2023-02-13 00:02:746 INFO  HomePage :61 - Click on Location Harrowgate
2023-02-13 00:02:840 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:149 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:284 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:563 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:611 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:675 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:756 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (7172b3e97db633d1137be158769ac9cc)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:109 INFO  HomePage :57 - click on job titleTester
2023-02-13 00:02:272 INFO  HomePage :61 - Click on Location Harrow on the Hill,Greater London
2023-02-13 00:02:804 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:969 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:278 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:425 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:542 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:639 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:797 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (b7ffeca4d10deb1560fbf8704ae67f98)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:23 INFO  HomePage :57 - click on job titleDevelopment Manager
2023-02-13 00:02:228 INFO  HomePage :61 - Click on Location Wembley,Greater London
2023-02-13 00:02:728 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (046e887bc9c2d546bd41207821de312e)] -> xpath: //select[@id='distance']]
